Year,Prscrbr_Geo_Lvl,Prscrbr_Geo_Cd,Prscrbr_Geo_Desc,RUCA_Cd,Breakout_Type,Breakout,Tot_Prscrbrs,Tot_Opioid_Prscrbrs,Tot_Opioid_Clms,Tot_Clms,Opioid_Prscrbng_Rate,Opioid_Prscrbng_Rate_5Y_Chg,Opioid_Prscrbng_Rate_1Y_Chg,LA_Tot_Opioid_Clms,LA_Opioid_Prscrbng_Rate,LA_Opioid_Prscrbng_Rate_5Y_Chg,LA_Opioid_Prscrbng_Rate_1Y_Chg
2022,County,01001,Alabama:Autauga,"",Totals,Overall,87,57,23687,230881,10.26,-1.5,-0.35,2527,10.67,-4.22,-1.51
2022,County,01003,Alabama:Baldwin,"",Totals,Overall,655,387,67446,1181527,5.71,-1.9,-0.07,3357,4.98,-5.49,-0.1
2022,County,01005,Alabama:Barbour,"",Totals,Overall,34,18,1179,84865,1.39,-1.72,-0.41,41,3.48,-3.26,-0.11
2022,County,01007,Alabama:Bibb,"",Totals,Overall,81,40,4197,124139,3.38,-0.08,0.16,292,6.96,-8.1,-0.44
2022,County,01009,Alabama:Blount,"",Totals,Overall,39,23,3745,128570,2.91,-2.73,-0.22,56,1.5,-2.56,0.05
2022,County,01011,Alabama:Bullock,"",Totals,Overall,8,6,1234,23228,5.31,0.81,-0.13,20,1.62,-2.27,-0.2
2022,County,01013,Alabama:Butler,"",Totals,Overall,40,24,2410,98336,2.45,-1.47,-0.22,47,1.95,-1.45,-1.69
2022,County,01015,Alabama:Calhoun,"",Totals,Overall,325,190,50818,668915,7.6,0.44,1.01,5919,11.65,4.49,3.39
2022,County,01017,Alabama:Chambers,"",Totals,Overall,33,22,7730,112616,6.86,-0.92,0.3,601,7.77,-4.26,-1.06
2022,County,01019,Alabama:Cherokee,"",Totals,Overall,50,23,5285,161682,3.27,-4.52,-1.68,217,4.11,-12.03,-5.08
2022,County,01021,Alabama:Chilton,"",Totals,Overall,58,36,7929,168232,4.71,-2.22,-0.11,73,0.92,-1.02,-0.09
2022,County,01023,Alabama:Choctaw,"",Totals,Overall,13,9,1924,61371,3.14,-3.54,-1.25,"","","",""
2022,County,01025,Alabama:Clarke,"",Totals,Overall,39,29,7958,165348,4.81,-1.21,-0.25,166,2.09,-2.67,-0.23
2022,County,01027,Alabama:Clay,"",Totals,Overall,13,10,5809,102161,5.69,-1.89,-0.71,514,8.85,-3.78,-1.25
2022,County,01029,Alabama:Cleburne,"",Totals,Overall,3,3,2365,36003,6.57,-0.53,-0.37,149,6.3,0.02,-0.01
2022,County,01031,Alabama:Coffee,"",Totals,Overall,102,67,12740,224325,5.68,-1.59,-0.79,507,3.98,-4.61,-0.8
2022,County,01033,Alabama:Colbert,"",Totals,Overall,193,108,35757,570581,6.27,-0.76,-0.42,1013,2.83,-1.4,0.06
2022,County,01035,Alabama:Conecuh,"",Totals,Overall,16,11,9432,107578,8.77,-0.96,-0.17,251,2.66,-2.56,-0.02
2022,County,01037,Alabama:Coosa,"",Totals,Overall,4,1,"",706,"","","","","","",""
2022,County,01039,Alabama:Covington,"",Totals,Overall,89,51,11796,251219,4.7,-3.02,-0.91,176,1.49,-3.18,-0.83
2022,County,01041,Alabama:Crenshaw,"",Totals,Overall,15,6,2945,69824,4.22,-1.25,-0.53,117,3.97,-2.91,-0.58
2022,County,01043,Alabama:Cullman,"",Totals,Overall,285,161,26749,603956,4.43,-3.35,-0.24,1300,4.86,-7.46,-0.83
2022,County,01045,Alabama:Dale,"",Totals,Overall,49,30,3889,82431,4.72,-2.59,-0.22,98,2.52,-0.6,0
2022,County,01047,Alabama:Dallas,"",Totals,Overall,91,50,10172,263254,3.86,-1.94,-0.14,212,2.08,-13.66,-0.21
2022,County,01049,Alabama:DeKalb,"",Totals,Overall,129,63,20317,351740,5.78,-0.81,-0.04,738,3.63,-3.56,-0.88
2022,County,01051,Alabama:Elmore,"",Totals,Overall,73,46,8821,225806,3.91,-3.79,-1.72,333,3.78,-0.7,0.14
2022,County,01053,Alabama:Escambia,"",Totals,Overall,65,45,12956,193359,6.7,-1.21,-0.19,195,1.51,-2.22,-0.12
2022,County,01055,Alabama:Etowah,"",Totals,Overall,372,214,37520,815308,4.6,-3.23,-1.72,2174,5.79,-6.82,-4.45
2022,County,01057,Alabama:Fayette,"",Totals,Overall,21,14,3135,109507,2.86,-1.46,-0.52,149,4.75,1.29,-0.19
2022,County,01059,Alabama:Franklin,"",Totals,Overall,53,35,10967,129442,8.47,-2.25,-0.15,149,1.36,-2.23,-0.07
2022,County,01061,Alabama:Geneva,"",Totals,Overall,21,17,4445,95535,4.65,-1.47,-0.27,152,3.42,-3.92,-0.17
2022,County,01063,Alabama:Greene,"",Totals,Overall,6,4,228,15583,1.46,-3.57,-0.21,18,7.89,2.77,1.51
2022,County,01065,Alabama:Hale,"",Totals,Overall,19,10,1459,61235,2.38,-2.76,0.37,48,3.29,0.92,-0.6
2022,County,01067,Alabama:Henry,"",Totals,Overall,14,9,4346,77642,5.6,-0.75,-0.28,155,3.57,0.4,0.37
2022,County,01069,Alabama:Houston,"",Totals,Overall,640,351,61442,1185648,5.18,-1.58,-0.61,2337,3.8,-3.88,-2.04
2022,County,01071,Alabama:Jackson,"",Totals,Overall,100,62,17158,304044,5.64,-1.49,-0.27,310,1.81,-2.34,-0.52
2022,County,01073,Alabama:Jefferson,"",Totals,Overall,5108,2761,364740,5666555,6.44,-0.57,-0.09,29751,8.16,-1.93,-0.21
2022,County,01075,Alabama:Lamar,"",Totals,Overall,15,8,3247,63720,5.1,-2.14,-0.84,64,1.97,1.13,-0.44
2022,County,01077,Alabama:Lauderdale,"",Totals,Overall,353,224,26512,651972,4.07,-1.72,-0.07,404,1.52,-4.78,-1.41
2022,County,01079,Alabama:Lawrence,"",Totals,Overall,21,13,5874,104148,5.64,-0.14,-0.21,198,3.37,-2.68,0.28
2022,County,01081,Alabama:Lee,"",Totals,Overall,388,232,29763,728011,4.09,-1.04,-0.34,1555,5.22,-4.01,-0.7
2022,County,01083,Alabama:Limestone,"",Totals,Overall,161,88,11552,284805,4.06,-1.57,-0.37,242,2.09,-2.77,-0.47
2022,County,01085,Alabama:Lowndes,"",Totals,Overall,3,2,91,12270,0.74,-5.98,-5,0,0,"",-1.6
2022,County,01087,Alabama:Macon,"",Totals,Overall,10,3,47,19340,0.24,-5.04,-0.9,0,0,"",0
2022,County,01089,Alabama:Madison,"",Totals,Overall,1608,912,123056,1943677,6.33,-2.69,-0.34,7701,6.26,-3.86,-0.34
2022,County,01091,Alabama:Marengo,"",Totals,Overall,27,17,4963,109487,4.53,-1.93,0.03,225,4.53,-0.81,-0.93
